len,spec_chars,domain,depth,numericals_count,word_count,label
3,0,0,0,0,1,0
22,1,0,0,0,12,1
16,2,0,0,0,4,1
18,1,0,0,0,8,1
13,1,0,0,0,11,1
21,1,0,0,0,14,1
16,1,0,0,0,12,1
14,1,0,0,0,5,1
6,1,0,0,0,0,1
43,4,0,2,0,26,1
15,2,0,1,0,6,1
10,1,0,0,0,4,1
80,4,0,6,3,43,1
51,8,0,1,5,18,1
11,2,0,0,0,0,1
29,2,0,2,0,17,1
11,1,0,0,0,4,1
22,2,0,0,0,16,1
15,1,0,0,0,11,1
32,3,0,2,5,10,1
24,2,0,0,0,15,1
31,3,0,1,3,12,1
13,1,0,0,0,3,1
8,1,0,0,0,0,1
89,13,0,1,12,25,1
16,2,0,1,1,3,1
19,1,0,0,0,10,1
17,1,0,0,0,11,1
13,1,0,0,0,6,1
14,1,0,0,0,7,1
18,1,0,0,0,11,1
10,1,0,0,0,4,1
14,1,0,1,0,1,1
28,3,0,0,0,19,1
16,1,0,0,0,7,1
11,1,0,0,0,6,1
22,2,0,0,0,6,1
18,1,0,0,0,3,1
16,2,0,0,0,8,1
17,2,0,0,0,13,1
19,2,0,0,0,10,1
10,1,0,0,0,0,1
12,1,0,0,0,5,1
31,4,0,1,6,5,1
39,3,0,2,10,18,1
16,1,0,0,0,4,1
10,1,0,0,0,2,1
10,1,0,0,0,6,1
30,2,0,2,0,20,1
21,1,0,0,0,15,1
11,2,0,0,0,1,1
13,1,0,0,0,2,1
15,1,0,0,0,10,1
15,1,0,0,0,10,1
15,1,0,0,0,11,1
15,1,0,0,0,11,1
16,1,0,0,0,8,1
14,1,0,0,0,10,1
14,1,0,0,0,11,1
15,1,0,0,0,12,1
17,1,0,0,0,9,1
14,1,0,0,0,11,1
14,1,0,0,0,10,1
22,1,0,0,0,15,1
18,1,0,0,0,15,1
10,1,0,0,0,5,1
21,1,0,0,0,15,1
17,1,0,2,0,11,1
8,1,0,0,0,3,1
28,2,0,2,3,9,1
18,1,0,0,0,8,1
18,1,0,0,0,11,1
8,2,0,0,0,3,1
12,1,0,0,0,4,1
16,1,0,0,0,16,1
17,1,0,0,0,6,1
16,1,0,0,0,13,1
19,3,0,1,2,3,1
12,2,0,0,0,4,1
33,2,0,2,2,14,1
35,2,0,2,3,13,1
26,2,0,1,4,1,1
22,3,0,1,0,4,1
10,1,0,0,0,3,1
32,4,0,1,4,2,1
36,4,0,1,10,3,1
37,6,0,2,3,15,1
14,1,0,0,0,9,1
13,2,0,0,2,3,1
12,1,0,0,0,3,1
10,1,0,0,0,5,1
19,1,0,0,0,1,1
10,1,0,0,0,7,1
13,1,0,0,0,9,1
11,1,0,0,0,4,1
22,2,0,0,0,20,1
8,1,0,0,0,3,1
6,1,0,0,0,1,1
9,1,0,0,0,2,1
7,1,0,0,0,0,1
15,2,0,0,0,4,1
13,1,0,0,0,2,1
14,2,0,0,0,7,1
23,2,0,0,0,16,1
27,2,0,0,3,10,1
16,1,0,0,0,16,1
17,2,0,0,0,4,1
31,3,0,2,2,15,1
29,2,0,2,0,17,1
45,2,0,3,3,25,1
42,2,0,3,0,20,1
45,3,0,3,1,22,1
29,2,0,2,0,11,1
29,2,0,2,0,14,1
30,2,0,2,0,18,1
31,2,0,2,0,19,1
29,3,0,2,3,8,1
33,2,0,2,0,14,1
47,2,0,5,10,15,1
35,2,0,2,0,18,1
29,2,0,2,0,15,1
29,2,0,2,0,16,1
31,2,0,2,0,17,1
29,2,0,2,0,16,1
35,3,0,2,2,13,1
28,2,0,2,3,8,1
29,2,0,2,0,11,1
30,2,0,2,0,16,1
21,2,0,2,1,6,1
22,2,0,2,0,6,1
36,3,0,4,1,6,1
35,2,0,2,0,14,1
48,3,0,3,3,24,1
23,3,0,1,1,3,1
21,3,0,1,0,4,1
37,3,0,2,0,18,1
28,4,0,1,0,9,1
43,7,0,2,10,5,1
32,3,0,2,12,6,1
32,3,0,2,12,6,1
22,3,0,1,0,7,1
24,3,0,1,0,7,1
31,3,0,2,0,13,1
24,2,0,1,0,11,1
76,5,0,3,8,40,1
66,5,0,3,8,31,1
75,7,0,3,8,40,1
40,4,0,2,7,10,1
87,3,0,2,39,10,1
72,5,0,3,0,42,1
9,1,0,0,0,0,1
34,3,0,3,0,10,1
24,1,0,0,0,14,1
24,4,0,0,8,2,1
22,2,0,0,4,12,1
26,1,0,1,0,21,1
20,3,0,0,2,7,1
17,2,0,0,0,10,1
20,1,0,1,0,8,1
18,1,0,1,0,7,1
17,1,0,1,0,3,1
13,1,0,1,0,6,1
17,1,0,1,0,12,1
12,1,0,1,0,7,1
17,1,0,1,0,3,1
22,1,0,1,0,11,1
20,1,0,1,0,18,1
18,1,0,1,0,13,1
12,2,0,0,0,4,1
31,2,0,0,0,14,1
18,2,0,0,0,10,1
14,1,0,0,0,5,1
20,2,0,0,0,10,1
40,5,0,1,3,23,1
36,5,0,1,3,15,1
33,5,0,1,3,15,1
49,6,0,2,3,23,1
39,7,0,1,3,18,1
46,6,0,1,3,26,1
53,7,0,1,3,29,1
38,5,0,1,3,23,1
45,5,0,1,3,31,1
36,2,0,2,1,23,1
37,3,0,2,0,17,1
18,2,0,1,0,3,1
11,2,0,1,0,1,1
13,2,0,0,0,5,1
29,3,0,2,0,18,1
30,3,0,2,0,9,1
32,3,0,2,0,12,1
47,5,0,1,0,21,1
19,1,0,1,0,10,1
21,2,0,1,0,5,1
30,2,0,2,0,24,1
87,20,0,2,27,18,1
43,1,0,6,0,20,1
71,6,0,2,29,8,1
29,2,0,2,0,13,1
14,2,0,0,0,4,1
49,5,0,2,0,32,1
24,3,0,3,1,2,1
32,2,0,2,0,21,1
37,3,0,3,2,14,1
12,1,0,1,0,3,1
40,3,0,5,8,16,1
39,4,0,5,8,13,1
42,4,0,5,8,15,1
28,3,0,2,0,16,1
46,4,0,3,0,21,1
49,4,0,3,0,23,1
43,6,0,3,7,19,1
41,5,0,3,5,15,1
20,1,0,1,0,5,1
26,3,0,1,1,7,1
26,3,0,1,3,5,1
79,14,0,3,0,39,1
60,7,0,3,0,39,1
28,4,0,2,1,8,1
7,1,0,1,1,0,1
30,1,0,2,0,17,1
36,3,0,2,3,17,1
22,4,0,1,1,9,1
13,1,0,1,0,8,1
17,1,0,1,0,7,1
21,2,0,1,0,13,1
92,11,0,3,7,34,1
123,10,0,3,56,8,1
126,10,0,3,67,8,1
120,13,0,3,54,9,1
120,13,0,3,54,8,1
38,5,0,2,2,7,1
28,3,0,2,0,8,1
39,3,0,2,10,7,1
30,3,0,2,5,7,1
28,2,0,2,5,8,1
32,6,0,2,2,8,1
37,4,0,2,6,11,1
122,23,0,7,14,31,1
42,7,0,2,2,16,1
21,2,0,1,0,8,1
44,4,0,2,0,14,1
31,2,0,3,0,11,1
29,2,0,3,0,7,1
27,3,0,2,4,3,1
24,4,0,2,2,11,1
26,4,0,2,2,12,1
26,4,0,2,2,10,1
24,2,0,2,2,6,1
31,6,0,2,4,5,1
24,4,0,2,2,11,1
26,2,0,2,0,8,1
33,6,0,2,2,7,1
27,4,0,2,2,13,1
25,4,0,2,0,13,1
27,4,0,2,2,11,1
34,6,0,2,3,14,1
27,2,0,2,1,14,1
27,4,0,2,2,12,1
26,4,0,2,2,10,1
23,4,0,2,2,8,1
26,4,0,2,2,12,1
24,2,0,2,0,6,1
31,6,0,2,2,5,1
23,4,0,2,2,6,1
23,2,0,2,3,6,1
30,6,0,2,5,5,1
26,2,0,2,0,7,1
24,2,0,2,0,9,1
31,6,0,2,2,7,1
30,4,0,2,4,6,1
30,4,0,2,4,6,1
39,4,0,2,3,14,1
41,4,0,2,3,19,1
25,4,0,2,2,13,1
24,4,0,2,2,6,1
26,4,0,2,2,11,1
36,2,0,4,0,12,1
35,3,0,2,2,22,1
32,4,0,1,3,7,1
44,6,0,1,3,12,1
30,4,0,2,3,15,1
30,4,0,2,3,11,1
43,2,0,3,4,29,1
21,3,0,2,0,5,1
24,2,0,2,0,9,1
29,4,0,2,2,15,1
35,4,0,1,6,12,1
27,4,0,2,2,10,1
26,4,0,2,2,9,1
34,4,0,2,2,18,1
34,4,0,2,4,19,1
33,4,0,2,3,19,1
33,4,0,2,2,18,1
32,4,0,2,2,16,1
27,4,0,2,2,10,1
31,4,0,2,2,13,1
25,4,0,2,2,9,1
24,2,0,1,0,10,1
31,4,0,2,4,12,1
43,6,0,1,0,20,1
81,7,0,2,1,55,1
83,10,0,2,0,57,1
57,4,0,2,0,36,1
21,3,0,1,0,9,1
25,3,0,1,0,18,1
64,7,0,2,0,48,1
16,1,0,0,2,12,1
25,4,0,1,0,12,1
77,8,0,2,0,57,1
14,2,0,0,2,6,1
12,2,0,0,0,5,1
83,5,0,3,12,40,1
74,10,0,4,14,27,1
36,4,0,2,0,18,1
12,1,0,1,0,7,1
26,1,0,2,2,14,1
25,3,0,1,1,10,1
65,4,0,2,7,20,1
31,2,0,1,0,20,1
85,13,0,2,8,37,1
27,1,0,2,2,20,1
19,2,0,1,0,7,1
40,5,0,3,1,7,1
42,3,0,2,0,27,1
39,2,0,2,2,16,1
36,2,0,2,2,14,1
43,2,0,2,4,18,1
39,2,0,2,4,19,1
17,1,0,1,0,6,1
30,1,0,3,1,15,1
27,3,0,2,6,1,1
31,4,0,2,1,20,1
30,4,0,2,1,19,1
63,3,0,1,21,20,1
22,3,0,1,0,5,1
35,2,0,2,1,11,1
36,2,0,5,21,2,1
38,3,0,5,22,2,1
42,2,0,3,4,14,1
57,3,0,5,0,33,1
86,9,0,2,29,15,1
86,9,0,2,28,15,1
40,2,0,2,2,18,1
88,8,0,2,29,15,1
88,8,0,2,29,15,1
88,8,0,2,29,15,1
49,4,0,3,0,22,1
36,4,0,1,2,12,1
87,2,0,11,1,45,1
88,2,0,11,1,46,1
25,4,0,2,0,9,1
19,2,0,1,0,9,1
31,3,0,1,1,9,1
43,3,0,2,0,16,1
43,5,0,2,7,8,1
33,2,0,2,1,14,1
28,4,0,2,0,10,1
49,2,0,2,3,27,1
38,2,0,2,2,6,1
27,4,0,2,1,9,1
27,4,0,2,1,9,1
15,2,0,1,2,6,1
25,3,0,1,0,10,1
26,4,0,2,1,9,1
25,4,0,2,0,9,1
40,4,0,2,0,25,1
29,4,0,2,1,9,1
26,4,0,2,0,9,1
28,5,0,1,3,4,1
26,4,0,2,0,9,1
26,4,0,2,0,9,1
34,4,0,2,0,15,1
32,3,0,2,0,11,1
31,2,0,1,0,19,1
38,3,0,3,0,19,1
38,2,0,3,0,26,1
28,4,0,2,1,9,1
28,3,0,2,0,7,1
